@relation MLBWinRates

@attribute HR numeric
@attribute SOA numeric
@attribute R numeric
@attribute RA numeric
@attribute SLG numeric
@attribute ERA numeric
@attribute BB numeric
@attribute WHIP numeric
@attribute AVG numeric
@attribute Result {.400,.450,.500,.550,.600}

@data
16,597,590,587,0.311,2.65,407,1.22,0.248,.450
12,612,516,518,0.309,2.44,369,1.19,0.244,.450
9,617,548,657,0.308,2.88,366,1.28,0.244,.450
23,497,620,684,0.333,3.08,529,1.34,0.259,.450
25,667,684,724,0.362,3.54,493,1.33,0.272,.450
21,557,682,706,0.346,3.26,578,1.32,0.261,.450
12,622,677,681,0.353,3.3,407,1.4,0.273,.450
19,512,720,777,0.349,3.77,530,1.43,0.268,.450
21,561,656,722,0.339,3.42,479,1.38,0.256,.450
43,616,670,688,0.367,3.25,464,1.4,0.267,.450
32,597,641,690,0.335,3.19,488,1.28,0.256,.450
19,660,487,560,0.311,2.48,408,1.15,0.239,.450
12,563,537,550,0.287,2.81,577,1.19,0.229,.450
17,553,523,615,0.319,2.85,423,1.31,0.243,.450
42,636,662,677,0.368,3.33,404,1.4,0.269,.450
31,605,622,618,0.355,2.82,376,1.28,0.269,.450
62,650,651,687,0.361,3.06,472,1.35,0.263,.450
31,559,584,588,0.305,3.06,570,1.29,0.233,.450
36,467,647,673,0.36,3.37,473,1.35,0.268,.450
40,594,574,634,0.338,3.38,420,1.34,0.249,.450
53,657,570,620,0.342,3.11,393,1.25,0.244,.450
15,572,516,585,0.331,2.84,360,1.26,0.253,.450
24,637,582,628,0.329,3.11,315,1.21,0.251,.450
24,544,557,520,0.334,2.6,419,1.17,0.246,.450
20,538,590,601,0.333,2.89,457,1.23,0.254,.450
16,537,630,602,0.331,2.9,522,1.31,0.25,.450
12,706,536,543,0.306,2.67,535,1.23,0.242,.450
27,571,524,558,0.308,2.66,496,1.21,0.239,.450
4,637,543,566,0.304,2.75,500,1.24,0.241,.450
25,582,511,559,0.322,2.78,334,1.19,0.247,.450
22,593,536,552,0.32,2.77,427,1.18,0.246,.450
17,654,552,567,0.313,2.62,415,1.19,0.239,.450
8,349,457,446,0.321,2.73,375,1.24,0.256,.450
20,370,493,475,0.33,3,367,1.35,0.257,.450
5,346,426,448,0.32,2.75,397,1.26,0.259,.450
10,395,360,463,0.315,2.81,212,1.19,0.25,.450
33,381,564,552,0.344,3.31,471,1.37,0.261,.450
31,415,533,567,0.355,3.13,391,1.33,0.264,.450
25,476,525,513,0.34,2.73,258,1.21,0.263,.450
22,481,650,698,0.35,3.82,533,1.39,0.269,.450
50,444,797,766,0.419,4.03,427,1.49,0.308,.450
34,508,619,635,0.354,3.27,428,1.33,0.264,.450
32,529,675,682,0.385,3.43,373,1.38,0.289,.450
17,446,668,696,0.361,3.98,428,1.45,0.277,.450
58,452,883,852,0.433,4.4,582,1.54,0.316,.450
20,408,618,649,0.37,3.46,375,1.32,0.278,.450
45,484,691,691,0.373,3.94,482,1.43,0.278,.450
56,499,743,754,0.392,4.05,339,1.49,0.29,.450
53,400,661,761,0.37,4.08,445,1.48,0.271,.450
82,488,688,720,0.398,3.93,442,1.43,0.281,.450
26,474,720,747,0.367,3.98,532,1.52,0.274,.450
62,548,753,741,0.387,3.74,425,1.42,0.285,.450
63,371,685,778,0.389,4.39,374,1.58,0.281,.450
67,386,769,809,0.408,4.57,465,1.5,0.295,.450
52,345,782,817,0.399,4.49,520,1.53,0.297,.450
41,351,708,802,0.39,4.39,405,1.48,0.292,.450
40,517,623,705,0.358,3.82,475,1.4,0.263,.450
73,419,663,668,0.384,3.77,339,1.34,0.278,.450
36,365,662,708,0.378,3.91,493,1.4,0.278,.450
29,407,643,653,0.367,3.54,402,1.31,0.278,.450
24,418,656,725,0.358,3.98,469,1.47,0.27,.450
40,462,718,705,0.393,3.88,481,1.36,0.284,.450
110,467,926,928,0.453,4.96,521,1.65,0.299,.450
48,494,730,776,0.375,4.34,556,1.42,0.276,.450
99,549,755,888,0.427,4.92,504,1.55,0.291,.450
153,369,897,1032,0.467,6.13,573,1.75,0.309,.450
82,574,783,833,0.421,4.7,461,1.54,0.284,.450
66,424,693,835,0.393,4.91,332,1.54,0.281,.450
41,345,636,691,0.36,3.66,493,1.39,0.266,.450
63,440,649,655,0.366,3.53,347,1.35,0.265,.450
116,506,755,706,0.406,3.83,348,1.4,0.276,.450
76,681,684,717,0.385,3.97,420,1.42,0.269,.450
50,437,654,669,0.36,3.71,448,1.37,0.261,.450
57,575,722,733,0.38,3.95,475,1.41,0.269,.450
51,538,820,775,0.383,4.32,610,1.52,0.274,.450
144,480,764,838,0.425,5.01,491,1.59,0.28,.450
79,520,748,795,0.396,4.48,548,1.49,0.281,.450
52,487,735,713,0.398,4.2,440,1.41,0.287,.450
74,436,738,750,0.382,4.38,580,1.48,0.275,.450
59,480,711,767,0.376,4.22,430,1.44,0.277,.450
86,584,775,764,0.4,4.39,584,1.5,0.276,.450
67,421,631,715,0.356,3.94,433,1.43,0.265,.450
82,459,722,760,0.388,4.22,410,1.46,0.274,.450
47,524,757,841,0.379,4.58,591,1.55,0.279,.450
85,515,814,873,0.416,4.94,573,1.56,0.293,.450
61,469,704,710,0.367,4.07,611,1.43,0.257,.450
91,534,725,721,0.407,3.84,412,1.41,0.279,.450
86,564,681,636,0.384,3.54,482,1.33,0.267,.450
91,606,663,659,0.374,3.79,453,1.36,0.267,.450
47,564,638,649,0.343,3.52,510,1.33,0.255,.450
103,617,677,668,0.393,3.9,512,1.47,0.256,.450
81,697,686,743,0.375,4.18,602,1.48,0.263,.450
91,454,765,823,0.39,4.72,775,1.52,0.266,.450
52,544,728,798,0.376,4.35,470,1.53,0.272,.450
99,548,666,670,0.365,3.72,559,1.38,0.253,.450
95,566,667,706,0.371,3.94,504,1.43,0.26,.450
50,448,590,659,0.345,3.59,500,1.36,0.253,.450
76,671,589,587,0.344,3.13,509,1.37,0.246,.450
66,616,527,545,0.321,2.82,483,1.23,0.231,.450
78,572,596,604,0.349,3.41,569,1.36,0.245,.450
52,513,632,600,0.351,3.31,574,1.28,0.261,.450
69,524,739,676,0.38,3.82,522,1.43,0.27,.450
23,481,543,662,0.32,3.58,439,1.32,0.247,.450
70,524,643,677,0.372,3.65,512,1.44,0.266,.450
36,534,525,594,0.327,3.26,422,1.24,0.257,.450
71,545,702,669,0.36,3.59,520,1.39,0.261,.450
50,490,599,674,0.346,3.8,541,1.47,0.26,.450
22,486,596,633,0.337,3.69,470,1.39,0.262,.450
37,550,562,595,0.333,3.1,501,1.33,0.257,.450
60,537,608,706,0.366,3.74,511,1.44,0.26,.450
53,522,553,661,0.342,3.64,492,1.43,0.256,.450
95,633,681,755,0.375,4.41,539,1.49,0.259,.450
103,589,706,719,0.374,3.99,684,1.42,0.258,.450
147,516,736,693,0.401,3.82,613,1.36,0.261,.450
126,556,681,760,0.384,4.57,548,1.47,0.259,.450
104,597,685,741,0.38,4.29,568,1.44,0.265,.450
102,437,736,745,0.386,4.47,677,1.47,0.262,.450
130,604,723,662,0.394,3.75,565,1.42,0.262,.450
108,570,648,644,0.375,3.81,505,1.35,0.26,.450
113,624,668,658,0.377,3.8,542,1.42,0.255,.450
107,661,628,631,0.383,3.58,422,1.3,0.264,.450
69,515,687,614,0.368,3.66,596,1.33,0.263,.450
176,647,768,747,0.422,4.25,499,1.47,0.271,.450
147,537,729,763,0.406,4.5,557,1.49,0.262,.450
102,570,659,614,0.395,3.59,604,1.3,0.267,.450
119,680,799,790,0.421,4.5,582,1.45,0.281,.450
164,686,626,713,0.398,4.17,428,1.38,0.247,.450
181,576,761,684,0.425,3.95,556,1.33,0.27,.450
132,657,675,666,0.395,3.93,652,1.3,0.255,.450
121,750,668,738,0.381,4.2,585,1.34,0.252,.450
124,709,678,698,0.399,3.97,503,1.36,0.268,.450
87,767,597,588,0.353,3.46,504,1.25,0.252,.450
140,807,682,722,0.382,4.06,591,1.45,0.252,.450
117,858,623,656,0.375,3.79,534,1.27,0.25,.450
108,749,521,575,0.35,3.4,483,1.23,0.241,.450
109,797,659,606,0.389,3.59,463,1.28,0.266,.450
138,721,642,713,0.381,4.15,452,1.34,0.247,.450
182,805,709,725,0.426,4.22,487,1.43,0.265,.450
123,705,695,621,0.389,3.73,572,1.33,0.258,.450
172,855,668,761,0.402,4.47,495,1.47,0.251,.450
111,822,619,704,0.38,4.12,533,1.42,0.261,.450
109,735,551,621,0.345,3.56,536,1.26,0.238,.450
125,724,726,696,0.385,4.17,626,1.45,0.256,.450
160,829,713,732,0.4,4.2,580,1.29,0.258,.450
163,765,673,688,0.398,4.01,498,1.33,0.249,.450
161,690,764,738,0.427,4.31,499,1.41,0.274,.450
118,846,641,725,0.4,4.34,485,1.46,0.269,.450
127,771,667,693,0.388,3.95,444,1.41,0.267,.450
150,824,633,644,0.375,3.64,636,1.29,0.239,.450
147,775,672,696,0.384,3.77,584,1.37,0.244,.450
112,831,729,792,0.374,4.29,647,1.49,0.254,.450
150,801,737,752,0.406,4.15,492,1.4,0.266,.450
128,759,694,675,0.41,3.92,428,1.35,0.273,.450
156,898,652,680,0.387,3.69,516,1.31,0.248,.450
146,923,707,756,0.403,4.22,525,1.43,0.258,.450
180,780,682,745,0.388,4.14,502,1.39,0.245,.450
171,1009,666,704,0.4,3.97,475,1.32,0.252,.450
169,1018,635,702,0.381,3.79,469,1.27,0.239,.450
148,930,700,703,0.382,3.9,592,1.29,0.252,.450
95,887,615,704,0.353,3.92,529,1.34,0.247,.450
108,900,567,595,0.359,3.1,454,1.25,0.25,.450
164,1162,689,693,0.38,3.75,500,1.35,0.247,.450
221,1099,737,678,0.427,3.58,553,1.29,0.252,.450
145,737,649,724,0.39,4.08,499,1.34,0.251,.450
79,1062,614,572,0.34,2.95,438,1.18,0.25,.450
121,951,663,636,0.389,3.52,408,1.32,0.264,.450
92,847,527,569,0.341,3.17,443,1.26,0.239,.450
149,1001,611,604,0.364,3.28,489,1.27,0.235,.450
109,916,707,674,0.371,3.77,477,1.29,0.254,.450
122,836,604,643,0.354,3.56,525,1.29,0.232,.450
155,1111,574,586,0.36,3.23,450,1.19,0.237,.450
70,854,564,648,0.337,3.56,421,1.33,0.236,.450
149,1043,692,702,0.395,4.08,394,1.32,0.26,.450
138,1034,654,592,0.372,3.32,531,1.22,0.24,.450
131,1189,559,613,0.359,3.25,413,1.23,0.235,.450
115,878,550,637,0.326,3.38,472,1.24,0.223,.450
158,862,631,640,0.372,3.47,512,1.26,0.24,.450
82,967,519,595,0.332,3.21,485,1.23,0.236,.450
91,820,679,693,0.38,3.74,387,1.37,0.277,.450
105,996,562,546,0.35,2.89,445,1.14,0.237,.450
80,871,514,549,0.339,2.92,414,1.15,0.252,.450
67,994,470,509,0.319,2.69,439,1.18,0.23,.450
81,1014,473,499,0.315,2.72,379,1.13,0.228,.450
100,935,543,615,0.333,3.36,462,1.27,0.233,.450
80,897,583,532,0.343,2.74,422,1.22,0.252,.450
94,801,562,587,0.344,3.23,565,1.24,0.235,.450
104,1221,676,668,0.352,3.6,699,1.32,0.24,.450
183,1076,649,675,0.394,3.91,503,1.39,0.249,.450
148,1045,666,731,0.374,4.09,656,1.43,0.238,.450
160,960,736,772,0.404,4.33,522,1.35,0.27,.450
129,942,744,763,0.391,4.23,598,1.42,0.259,.450
136,914,687,807,0.365,4.5,659,1.5,0.237,.450
101,1047,594,730,0.356,4.17,519,1.38,0.238,.450
113,960,744,747,0.379,4.06,569,1.43,0.263,.450
96,904,511,576,0.329,3.1,441,1.25,0.231,.450
138,976,617,597,0.373,3.12,562,1.25,0.25,.450
116,895,654,670,0.372,3.81,512,1.35,0.26,.450
138,750,586,581,0.366,3.35,438,1.25,0.241,.450
71,914,585,567,0.34,3.13,478,1.22,0.24,.450
78,1000,454,533,0.33,3.06,358,1.26,0.242,.450
91,846,472,519,0.33,2.92,420,1.25,0.234,.450
78,801,580,545,0.353,3.24,534,1.23,0.255,.450
93,838,537,535,0.344,2.84,478,1.17,0.244,.450
144,732,628,730,0.382,4.27,532,1.4,0.258,.450
70,912,568,600,0.355,3.42,437,1.3,0.26,.450
93,1010,629,657,0.348,3.53,509,1.35,0.253,.450
111,848,652,705,0.372,3.86,537,1.41,0.256,.450
120,879,738,692,0.393,3.77,598,1.35,0.27,.450
145,671,708,731,0.388,3.98,563,1.44,0.253,.450
131,708,641,610,0.378,3.34,489,1.29,0.261,.450
206,803,799,774,0.427,4.25,608,1.4,0.266,.450
117,885,614,655,0.357,3.66,575,1.33,0.247,.450
125,866,668,702,0.364,3.71,695,1.4,0.251,.450
154,839,704,693,0.405,3.73,432,1.37,0.261,.450
75,867,643,603,0.357,3.25,531,1.27,0.259,.450
135,826,684,721,0.389,3.94,519,1.38,0.268,.450
131,650,662,694,0.37,3.8,432,1.31,0.255,.450
89,731,667,662,0.364,3.51,550,1.33,0.259,.450
120,621,647,660,0.369,3.76,500,1.35,0.244,.450
110,738,653,632,0.378,3.46,471,1.38,0.263,.450
86,822,662,657,0.35,3.6,652,1.32,0.254,.450
95,892,676,701,0.373,3.91,469,1.43,0.261,.450
94,799,655,703,0.358,3.93,611,1.48,0.255,.450
153,800,688,703,0.392,3.84,525,1.39,0.261,.450
121,846,724,736,0.386,4.05,563,1.4,0.271,.450
134,792,714,733,0.371,3.86,613,1.35,0.256,.450
95,850,712,827,0.368,4.49,650,1.48,0.259,.450
98,831,601,690,0.348,3.72,579,1.43,0.244,.450
84,856,659,671,0.365,3.74,604,1.41,0.259,.450
63,992,550,631,0.318,3.36,534,1.27,0.235,.450
101,738,609,709,0.365,3.87,450,1.38,0.257,.450
80,773,616,652,0.341,3.45,568,1.31,0.25,.450
105,850,611,728,0.356,3.93,490,1.36,0.251,.450
66,780,625,657,0.347,3.56,530,1.39,0.256,.450
64,652,570,662,0.337,3.65,488,1.33,0.247,.450
85,746,595,686,0.345,3.53,518,1.36,0.246,.450
131,965,675,695,0.386,3.72,542,1.36,0.255,.450
166,784,714,751,0.41,4.13,452,1.37,0.264,.450
111,942,692,739,0.387,4.01,534,1.35,0.266,.450
114,871,680,650,0.385,3.54,515,1.32,0.254,.450
138,856,665,736,0.402,4.01,478,1.35,0.26,.450
134,854,673,711,0.383,3.75,568,1.39,0.253,.450
82,703,666,678,0.375,3.69,604,1.36,0.267,.450
72,768,664,724,0.361,4.05,562,1.38,0.264,.450
70,930,605,634,0.355,3.63,434,1.32,0.258,.450
121,740,633,611,0.379,3.42,396,1.32,0.254,.450
127,675,730,748,0.41,4.1,454,1.41,0.275,.450
135,933,706,707,0.403,3.88,478,1.4,0.269,.450
183,811,739,717,0.412,3.83,556,1.37,0.263,.450
89,843,738,807,0.381,4.68,617,1.45,0.277,.450
99,744,670,724,0.381,3.93,436,1.36,0.265,.450
124,890,756,752,0.405,4.02,480,1.43,0.284,.450
67,728,591,654,0.342,3.65,563,1.37,0.255,.450
80,811,573,634,0.342,3.46,509,1.34,0.244,.450
101,664,738,710,0.4,3.93,451,1.35,0.275,.450
97,426,476,453,0.38,3.7,393,1.32,0.256,.450
61,404,397,405,0.383,3.56,301,1.28,0.267,.450
64,471,395,416,0.349,3.45,321,1.31,0.243,.450
55,492,407,425,0.369,3.56,278,1.38,0.257,.450
109,882,683,748,0.373,4.11,651,1.38,0.262,.450
161,939,709,716,0.398,3.99,590,1.34,0.256,.450
130,1002,651,712,0.381,3.88,456,1.34,0.254,.450
106,776,651,701,0.383,3.95,415,1.33,0.262,.450
102,764,676,709,0.375,3.92,460,1.36,0.26,.450
74,899,569,620,0.349,3.42,435,1.26,0.247,.450
81,765,675,658,0.359,3.52,429,1.25,0.257,.450
142,767,724,775,0.409,4.34,536,1.43,0.27,.450
109,593,696,767,0.397,4.25,397,1.4,0.271,.450
121,719,708,782,0.381,4.34,524,1.44,0.262,.450
106,826,639,609,0.366,3.31,442,1.27,0.255,.450
107,934,623,710,0.356,3.98,588,1.38,0.239,.450
93,850,653,653,0.351,3.62,482,1.31,0.25,.450
142,881,687,697,0.375,3.7,619,1.35,0.247,.450
83,709,679,710,0.384,3.79,543,1.37,0.27,.450
150,754,696,697,0.381,3.96,556,1.37,0.249,.450
172,840,679,736,0.395,4.13,523,1.31,0.247,.450
123,803,761,766,0.384,4.26,600,1.41,0.265,.450
114,713,673,675,0.385,3.85,437,1.32,0.265,.450
158,695,738,796,0.404,4.48,568,1.5,0.259,.450
129,972,682,774,0.384,4.31,519,1.47,0.258,.450
111,859,632,655,0.361,3.57,555,1.33,0.247,.450
79,950,693,630,0.371,3.32,494,1.28,0.264,.450
102,1033,580,600,0.348,3.17,488,1.29,0.244,.450
96,861,593,585,0.362,3.31,470,1.26,0.251,.450
147,904,720,690,0.407,3.62,555,1.28,0.266,.450
98,995,615,567,0.363,3.11,438,1.26,0.255,.450
162,913,800,720,0.429,4.06,562,1.39,0.282,.450
141,767,705,782,0.407,4.48,502,1.35,0.264,.450
155,785,757,787,0.401,4.41,508,1.42,0.264,.450
171,868,719,818,0.412,4.68,564,1.46,0.255,.450
150,820,686,729,0.39,4.16,562,1.39,0.254,.450
141,899,667,673,0.383,3.68,527,1.4,0.245,.450
169,954,708,760,0.395,4.3,563,1.38,0.258,.450
137,888,654,673,0.39,3.82,474,1.31,0.252,.450
127,952,667,734,0.385,4.01,530,1.38,0.255,.450
163,937,731,760,0.39,4.31,553,1.4,0.252,.450
130,1051,638,679,0.37,3.76,478,1.33,0.251,.450
110,1051,637,688,0.379,3.78,537,1.31,0.254,.450
136,934,656,723,0.388,3.99,484,1.4,0.261,.450
58,761,601,611,0.327,3.37,568,1.26,0.236,.450
174,1034,842,825,0.43,4.77,606,1.46,0.278,.450
172,941,770,803,0.401,4.38,590,1.36,0.252,.450
173,792,748,746,0.415,4.3,487,1.36,0.258,.450
199,1042,806,789,0.428,4.32,593,1.37,0.26,.450
161,919,760,801,0.428,4.49,500,1.4,0.272,.450
194,1103,823,849,0.43,4.63,567,1.49,0.266,.450
209,1024,720,801,0.432,4.55,504,1.5,0.264,.450
122,1137,648,678,0.373,3.84,526,1.31,0.253,.450
125,1097,635,675,0.371,3.72,445,1.36,0.252,.450
169,877,702,749,0.41,4.18,587,1.41,0.254,.450
131,914,723,744,0.403,4.2,535,1.34,0.264,.450
124,817,714,771,0.385,4.32,469,1.42,0.261,.450
134,812,666,731,0.387,4.16,416,1.35,0.261,.450
113,897,660,694,0.383,3.84,403,1.36,0.261,.450
107,923,628,592,0.373,3.08,454,1.21,0.251,.450
71,881,578,633,0.337,3.47,484,1.27,0.249,.450
127,844,604,654,0.365,3.65,499,1.29,0.245,.450
117,851,740,738,0.402,4.28,478,1.4,0.276,.450
126,812,707,679,0.382,3.8,455,1.34,0.259,.450
130,787,698,792,0.391,4.5,502,1.46,0.269,.450
134,897,694,728,0.384,4,489,1.38,0.257,.450
128,981,632,691,0.37,3.73,493,1.34,0.247,.450
89,1052,554,536,0.339,2.95,507,1.22,0.24,.450
100,1059,632,630,0.361,3.48,572,1.27,0.247,.450
95,827,637,680,0.359,3.64,563,1.3,0.241,.450
132,776,669,698,0.37,4.04,660,1.38,0.245,.450
147,944,690,706,0.391,3.79,566,1.39,0.26,.450
110,860,732,737,0.391,4.26,458,1.41,0.267,.450
172,856,750,754,0.409,4.39,634,1.44,0.259,.450
100,1006,707,709,0.395,3.93,498,1.41,0.267,.450
100,872,666,729,0.385,4.12,445,1.39,0.265,.450
128,771,732,760,0.384,4.08,519,1.4,0.256,.450
107,1064,640,680,0.373,3.69,596,1.33,0.259,.450
136,877,690,774,0.392,4.34,406,1.44,0.263,.450
94,854,573,656,0.345,3.61,548,1.3,0.242,.450
103,840,646,729,0.363,4.07,582,1.4,0.255,.450
123,928,673,673,0.38,3.68,509,1.33,0.257,.450
115,990,653,649,0.374,3.69,448,1.31,0.255,.450
159,927,695,734,0.39,4.03,442,1.34,0.253,.450
164,997,689,691,0.403,3.83,488,1.34,0.258,.450
117,1028,640,646,0.365,3.56,578,1.26,0.244,.450
111,988,629,680,0.358,3.86,490,1.38,0.241,.450
141,905,649,697,0.381,4.03,471,1.35,0.246,.450
84,943,599,669,0.347,3.58,591,1.34,0.246,.450
127,890,674,746,0.383,4.11,448,1.41,0.266,.450
182,693,791,794,0.407,4.6,675,1.46,0.256,.450
163,851,733,746,0.406,4.21,536,1.42,0.261,.450
159,1034,682,753,0.393,4.09,550,1.42,0.25,.450
104,901,593,624,0.364,3.39,417,1.3,0.254,.450
96,978,608,668,0.359,3.72,506,1.32,0.246,.450
114,997,686,698,0.395,3.77,508,1.33,0.264,.450
141,888,790,813,0.409,4.58,488,1.51,0.275,.450
137,996,722,785,0.396,4.51,485,1.41,0.264,.450
130,1043,675,662,0.383,3.5,492,1.34,0.261,.450
110,832,707,806,0.393,4.77,536,1.41,0.267,.450
120,729,552,621,0.421,4.93,404,1.51,0.263,.450
161,560,652,671,0.454,5.38,520,1.56,0.265,.450
103,602,594,688,0.427,5.68,359,1.58,0.276,.450
99,577,547,586,0.408,4.62,417,1.44,0.263,.450
124,683,613,697,0.436,5.45,437,1.53,0.28,.450
115,832,566,579,0.424,4.7,387,1.5,0.269,.450
125,703,573,638,0.439,5.15,378,1.58,0.274,.450
117,640,506,526,0.394,4.13,336,1.37,0.25,.450
80,699,521,497,0.39,3.85,396,1.37,0.262,.450
80,650,466,580,0.384,4.64,349,1.46,0.259,.450
123,655,504,500,0.402,3.99,364,1.35,0.249,.450
108,632,535,621,0.414,5.14,434,1.48,0.263,.450
173,930,704,640,0.428,4.31,574,1.33,0.262,.450
146,892,755,758,0.431,4.85,576,1.55,0.28,.450
119,763,629,691,0.396,4.49,475,1.42,0.26,.450
128,699,740,747,0.409,4.82,502,1.55,0.266,.450
169,890,730,761,0.42,4.93,565,1.47,0.264,.450
144,994,673,673,0.406,4.27,517,1.45,0.262,.450
118,950,621,638,0.394,4.11,400,1.33,0.259,.450
125,901,657,618,0.4,3.88,446,1.31,0.267,.450
94,980,615,658,0.384,4.21,497,1.38,0.262,.450
116,1047,668,672,0.397,4.13,447,1.37,0.272,.450
152,801,652,776,0.404,4.86,472,1.45,0.253,.450
123,926,746,786,0.398,4.55,529,1.4,0.267,.450
118,959,877,900,0.425,5.3,576,1.49,0.288,.450
178,846,894,899,0.441,5.17,624,1.52,0.279,.450
243,884,861,900,0.452,5.2,640,1.57,0.265,.450
177,1033,766,809,0.42,4.58,529,1.44,0.259,.450
175,1027,772,771,0.401,4.36,523,1.37,0.251,.450
191,1089,778,773,0.422,4.33,604,1.41,0.256,.450
150,1050,688,703,0.393,3.95,553,1.37,0.257,.450
138,1044,776,833,0.407,4.64,510,1.43,0.266,.450
185,987,851,857,0.463,4.87,514,1.5,0.291,.450
158,961,779,833,0.417,4.74,569,1.46,0.273,.450
176,982,784,790,0.415,4.56,578,1.4,0.258,.450
135,1012,681,742,0.398,4.22,494,1.37,0.26,.450
187,925,807,823,0.438,4.68,500,1.5,0.274,.450
147,1150,654,694,0.389,3.92,487,1.35,0.244,.450
142,1159,651,764,0.389,4.42,518,1.36,0.253,.450
172,1138,691,740,0.425,4.14,420,1.33,0.258,.450
129,1080,725,760,0.404,4.28,481,1.44,0.262,.450
152,1059,795,891,0.407,4.99,604,1.5,0.271,.450
144,1130,689,708,0.396,3.9,543,1.35,0.255,.450
214,1065,817,785,0.447,4.73,593,1.43,0.273,.450
198,911,861,931,0.444,5.24,551,1.49,0.271,.450
149,922,804,866,0.397,4.83,633,1.45,0.257,.450
234,1156,859,855,0.468,4.95,558,1.45,0.276,.450
138,1098,750,760,0.402,4.44,608,1.37,0.262,.450
183,951,826,855,0.461,5,469,1.5,0.291,.450
152,1063,707,812,0.396,4.63,532,1.44,0.26,.450
126,1176,713,808,0.395,4.64,508,1.38,0.264,.450
203,982,851,815,0.447,4.77,615,1.47,0.279,.450
162,968,777,870,0.429,4.92,499,1.53,0.277,.450
244,980,859,905,0.455,5.24,610,1.6,0.269,.450
187,1077,793,787,0.42,4.45,594,1.4,0.266,.450
165,987,815,886,0.426,5.07,658,1.55,0.273,.450
161,1030,841,846,0.431,4.93,631,1.47,0.275,.450
171,1083,775,782,0.419,4.33,573,1.45,0.259,.450
153,1078,710,781,0.393,4.47,631,1.4,0.252,.450
194,1025,809,838,0.426,4.74,613,1.51,0.262,.450
184,1017,794,913,0.435,5.37,558,1.54,0.272,.450
177,978,823,827,0.438,4.71,562,1.44,0.275,.450
150,927,879,930,0.425,5.48,511,1.58,0.288,.450
160,1051,731,797,0.409,4.59,540,1.49,0.262,.450
177,967,740,826,0.403,4.64,620,1.52,0.246,.450
157,1071,752,815,0.402,4.52,602,1.43,0.254,.450
158,947,691,730,0.405,4.2,494,1.38,0.261,.450
246,951,890,968,0.471,5.71,548,1.58,0.275,.450
195,1041,767,753,0.43,4.28,470,1.4,0.263,.450
213,1058,923,906,0.483,5.29,511,1.48,0.292,.450
166,1119,742,744,0.423,4.32,470,1.4,0.264,.450
161,1088,789,812,0.399,4.52,678,1.38,0.252,.450
217,945,856,798,0.449,4.53,555,1.37,0.268,.450
192,1058,739,837,0.412,4.91,542,1.48,0.249,.450
187,991,813,828,0.43,4.8,522,1.46,0.261,.450
169,980,709,774,0.408,4.27,583,1.41,0.253,.450
152,920,778,898,0.423,5.2,497,1.5,0.274,.450
146,1104,699,763,0.403,4.36,595,1.43,0.261,.450
160,1107,690,703,0.395,3.89,486,1.35,0.256,.450
165,1075,710,724,0.422,4.17,640,1.35,0.259,.450
150,980,736,743,0.413,4.28,476,1.35,0.268,.450
198,866,853,892,0.445,5.2,619,1.54,0.267,.450
163,926,753,801,0.42,4.64,529,1.4,0.267,.450
169,1090,842,830,0.432,4.7,528,1.49,0.281,.450
184,1115,858,857,0.444,4.81,606,1.45,0.276,.450
194,992,750,907,0.418,5.19,599,1.5,0.25,.450
189,1052,729,800,0.434,4.56,447,1.43,0.269,.450
260,932,865,858,0.468,4.96,495,1.47,0.267,.450
136,958,775,705,0.407,4.06,486,1.33,0.265,.450
191,1038,696,856,0.421,4.84,606,1.45,0.256,.450
194,1256,703,714,0.44,4.19,419,1.34,0.27,.450
222,955,820,889,0.446,5.15,611,1.5,0.261,.450
175,1173,726,697,0.423,3.97,531,1.36,0.259,.450
128,972,649,745,0.396,4.33,431,1.42,0.261,.450
117,997,639,673,0.386,3.87,491,1.37,0.252,.450
196,948,870,782,0.457,4.41,556,1.41,0.28,.450
172,1067,756,792,0.424,4.6,404,1.42,0.272,.450
183,972,835,784,0.446,4.6,505,1.44,0.278,.450
160,1115,773,788,0.424,4.48,504,1.4,0.267,.450
222,1049,849,805,0.455,4.6,526,1.46,0.27,.450
217,1053,749,801,0.432,4.51,614,1.41,0.257,.450
157,952,813,812,0.433,4.66,561,1.45,0.27,.450
182,1088,758,772,0.435,4.37,497,1.46,0.264,.450
180,1145,730,833,0.42,4.82,502,1.38,0.258,.450
163,992,746,790,0.422,4.63,494,1.4,0.259,.450
118,1094,718,725,0.391,4.15,512,1.34,0.264,.450
171,1036,741,758,0.407,4.28,664,1.38,0.256,.450
179,976,816,844,0.426,4.75,503,1.53,0.263,.450
167,1109,723,813,0.412,4.68,547,1.42,0.26,.450
141,945,725,829,0.405,4.65,506,1.41,0.274,.450
123,931,673,783,0.39,4.58,524,1.44,0.256,.450
171,986,805,761,0.424,4.46,560,1.37,0.262,.450
200,991,821,857,0.444,4.91,572,1.51,0.271,.450
120,1085,691,781,0.397,4.5,392,1.38,0.269,.450
125,1061,646,690,0.369,4.01,574,1.35,0.242,.450
194,963,901,967,0.462,5.37,595,1.58,0.283,.450
187,1227,704,800,0.408,4.55,560,1.46,0.247,.450
160,1041,747,822,0.415,4.77,570,1.46,0.263,.450
184,1119,724,732,0.411,4.16,534,1.35,0.258,.450
135,1124,759,761,0.397,4.29,527,1.39,0.262,.450
